word,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
beaten,2.8797786788903776,0.968675052943102,0.5228879683478483
due,2.864287807470351,1.5699216375284757,0.9876772735459357
restored,2.8610983112627744,0.3674284683577283,0.11619732629952186
perception,2.8610983112627744,0.3674284683577283,0.11619732629952186
tormenting,2.8610983112627744,0.3674284683577283,0.11619732629952186
treasure,2.8610983112627744,0.3674284683577283,0.11619732629952186
scarf,2.8610983112627744,0.3674284683577283,0.11619732629952186
personality,2.8610983112627744,0.3674284683577283,0.11619732629952186
compressed,2.8610983112627744,0.3674284683577283,0.11619732629952186
heaven's,2.8610983112627744,0.3674284683577283,0.11619732629952186
alien,2.8610983112627744,0.3674284683577283,0.11619732629952186
knot,2.8610983112627744,0.3674284683577283,0.11619732629952186
nightcap,2.8610983112627744,0.3674284683577283,0.11619732629952186
bloodstained,2.8610983112627744,0.3674284683577283,0.11619732629952186
downhill,2.8610983112627744,0.3674284683577283,0.11619732629952186
virtues,2.8610983112627744,0.3674284683577283,0.11619732629952186
refined,2.8610983112627744,0.3674284683577283,0.11619732629952186
where,2.852675030716682,20.743007168195394,18.475374881623974
visit,2.8283942676244838,2.1377656340813287,1.452466578744023
decided,2.8255991419213835,3.373661391284597,2.4982425154397196
generally,2.8196771481639207,1.2692983452357889,0.755282620946892
places,2.813434214973947,1.6367268135935171,1.0457759366956967
europe,2.813434214973947,1.6367268135935171,1.0457759366956967
approval,2.7922685770304607,0.8016621127804983,0.40669064204832645
joyous,2.7922685770304607,0.8016621127804983,0.40669064204832645
poland,2.7736488124035876,0.6346491726178944,0.2904933157488046
presents,2.7736488124035876,0.6346491726178944,0.2904933157488046
summoned,2.7736488124035876,0.6346491726178944,0.2904933157488046
brilliant,2.760838290012634,2.3381811622764532,1.6267625681933058
explanation,2.7466232776489488,1.3361035213008303,0.8133812840966529
path,2.7426910237246656,2.4049863383414944,1.6848612313430669
beside,2.716399719827791,6.1794787860163405,4.996485030879439
listened,2.6733392277881833,4.542751972422823,3.5440184521354166
disappeared,2.662190551190232,1.1022854050731852,0.6390852946473701
spot,2.6605384870095232,1.9039475178536833,1.2781705892947401
play,2.6605384870095232,1.9039475178536833,1.2781705892947401
pleasant,2.659869225520165,2.8726225707967856,2.0915518733913934
foundation,2.6419967771377832,0.8684672888455398,0.4647893051980874
whose,2.6311630021338743,3.8078950357073666,2.904933157488046
looked,2.608350594488897,21.745084809171015,19.521150818319672
letters,2.606625369202993,2.0375578699837664,1.394367915594262
shaven,2.580376915125787,0.5344414085203322,0.2323946525990437
occasion,2.580376915125787,0.5344414085203322,0.2323946525990437
color,2.580376915125787,0.5344414085203322,0.2323946525990437
th,2.580376915125787,0.5344414085203322,0.2323946525990437
searching,2.580376915125787,0.5344414085203322,0.2323946525990437
covering,2.580376915125787,0.5344414085203322,0.2323946525990437
moon,2.580376915125787,0.5344414085203322,0.2323946525990437
glittered,2.580376915125787,0.5344414085203322,0.2323946525990437
flourishing,2.580376915125787,0.5344414085203322,0.2323946525990437
fool,2.5790608840490954,1.5365190494959549,0.9876772735459357
doctors,2.578211111479394,1.1690905811382266,0.697183957797131
trot,2.5653160827344585,0.701454348682936,0.3485919788985655
killing,2.5653160827344585,0.701454348682936,0.3485919788985655
review,2.5653160827344585,0.701454348682936,0.3485919788985655
bushes,2.5653160827344585,0.701454348682936,0.3485919788985655
band,2.5653160827344585,0.701454348682936,0.3485919788985655
two,2.5397606445354626,19.874539879349854,17.778190923826845
charge,2.5202757286416277,0.9352724649105812,0.5228879683478483
horses,2.5095596794781905,7.983218539772462,6.681346262222506
present,2.47895390946843,4.175323504065095,3.2535251363866116
kissed,2.4644542268007505,3.9749079758699706,3.0792291469373287
heard,2.4425911314123354,16.63448884019534,14.757060440039275
footmen,2.4201732283547672,1.0020776409756227,0.5809866314976092
address,2.4201732283547672,1.0020776409756227,0.5809866314976092
anxiously,2.413293291202969,0.4342336444227699,0.17429598944928276
midnight,2.413293291202969,0.4342336444227699,0.17429598944928276
slope,2.413293291202969,0.4342336444227699,0.17429598944928276
fright,2.413293291202969,0.4342336444227699,0.17429598944928276
toes,2.413293291202969,0.4342336444227699,0.17429598944928276
exchanging,2.413293291202969,0.4342336444227699,0.17429598944928276
abashed,2.413293291202969,0.4342336444227699,0.17429598944928276
belief,2.413293291202969,0.4342336444227699,0.17429598944928276
drooping,2.413293291202969,0.4342336444227699,0.17429598944928276
slipping,2.413293291202969,0.4342336444227699,0.17429598944928276
distributed,2.413293291202969,0.4342336444227699,0.17429598944928276
directing,2.413293291202969,0.4342336444227699,0.17429598944928276
trodden,2.413293291202969,0.4342336444227699,0.17429598944928276
crush,2.413293291202969,0.4342336444227699,0.17429598944928276
instinct,2.413293291202969,0.4342336444227699,0.17429598944928276
frankly,2.413293291202969,0.4342336444227699,0.17429598944928276
downcast,2.413293291202969,0.4342336444227699,0.17429598944928276
fast,2.40536244704232,0.7682595247479774,0.40669064204832645
established,2.40536244704232,0.7682595247479774,0.40669064204832645
messenger,2.40536244704232,0.7682595247479774,0.40669064204832645
remaining,2.40536244704232,0.7682595247479774,0.40669064204832645
thee,2.40536244704232,0.7682595247479774,0.40669064204832645
above,2.395180949910756,4.876777852748031,3.8926104310339817
